date,ID_CASE,CROP,DEFICIT0,DEFICIT1,DEFICIT2,DEFICIT3,DEFICIT4,DEFICIT5,DEFICIT6,DEFICIT7,PREC_8,PREC_7,PREC_6,PREC_5,PREC_4,PREC_3,PREC_2,PREC_1,PREC0,PREC1,PREC2,PREC3,PREC4,PREC5,PREC6,PREC7
2021-01-28,M01853S105C1,FALLOW,65.1,65.5,56.3,51.8,52.2,53.0,53.6,54.3,0.0,0.0,0.3,1.2,0.1,0.0,0.0,0.0,0.1,0.1,10.0,5.5,0.5,0.0,0.1,0.1
2021-01-28,M01854S105C1,FALLOW,66.4,66.8,58.5,55.2,55.5,56.4,57.0,57.7,0.0,0.0,0.2,1.9,0.3,0.0,0.0,0.0,0.1,0.0,9.2,4.3,0.5,0.0,0.0,0.1
2021-01-28,M01859S105C1,FALLOW,29.9,30.4,27.7,26.0,25.8,26.6,27.3,28.1,0.0,0.0,2.5,1.9,4.8,0.1,0.0,0.0,0.1,0.0,3.5,2.5,1.0,0.0,0.0,0.1
2021-01-28,M01860S105C1,FALLOW,24.4,24.8,22.8,21.2,20.8,21.6,22.3,23.2,0.0,0.0,2.5,2.1,6.4,0.5,0.0,0.0,0.1,0.0,2.9,2.4,1.2,0.0,0.0,0.0
2021-01-28,M01893S105C1,FALLOW,63.9,64.3,55.4,51.2,51.5,52.3,53.0,53.7,0.0,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.1,0.1,9.8,5.1,0.6,0.0,0.0,0.1
2021-01-28,M01894S105C1,FALLOW,67.0,67.4,59.5,56.5,56.7,57.5,58.1,58.8,0.0,0.0,0.0,1.9,0.3,0.0,0.0,0.0,0.1,0.0,8.8,3.9,0.6,0.1,0.0,0.1
2021-01-28,M01895S105C1,FALLOW,50.1,50.6,43.4,41.6,41.9,42.6,43.3,44.0,0.0,0.0,0.2,3.4,1.0,0.0,0.0,0.0,0.2,0.0,8.1,2.7,0.5,0.1,0.0,0.1
2021-01-28,M01899S105C1,FALLOW,27.1,27.6,24.7,23.2,22.9,23.5,24.2,24.9,0.0,0.0,2.4,2.1,5.0,0.2,0.0,0.0,0.1,0.0,3.7,2.3,1.1,0.1,0.0,0.1
2021-01-28,M01900S105C1,FALLOW,21.3,21.8,19.7,18.2,17.6,18.3,19.0,19.8,0.0,0.0,2.4,1.9,6.9,0.6,0.0,0.0,0.1,0.0,3.0,2.3,1.3,0.1,0.0,0.0
2021-01-28,M01934S105C1,FALLOW,60.5,61.0,52.9,50.2,50.3,51.0,51.7,52.3,0.0,0.0,0.0,2.9,0.7,0.0,0.0,0.0,0.1,0.0,9.0,3.6,0.7,0.1,0.0,0.1
2021-01-28,M01935S105C1,FALLOW,39.7,40.2,33.2,31.7,31.9,32.6,33.2,33.9,0.0,0.0,0.0,4.0,1.3,0.0,0.0,0.0,0.1,0.0,7.9,2.4,0.6,0.1,0.0,0.1
2021-01-28,M01974S105C1,FALLOW,36.0,36.4,28.4,26.0,25.9,26.7,27.4,28.1,0.0,0.0,0.5,4.8,1.3,0.0,0.0,0.0,0.1,0.0,9.0,3.3,0.9,0.1,0.0,0.1
2021-01-28,M02154S107C1,FALLOW,2.2,2.5,1.9,0.6,0.7,0.9,1.9,2.9,0.0,0.0,4.4,0.6,15.6,13.0,0.0,0.0,0.1,0.4,1.2,5.4,1.0,0.4,0.0,0.0
2021-01-28,M02193S107C1,FALLOW,2.4,2.8,2.4,0.6,0.7,0.8,1.8,2.9,0.0,0.0,3.7,0.1,16.3,11.2,0.0,0.0,0.1,0.3,1.2,3.9,0.9,0.5,0.0,0.0
2021-01-28,M02194S107C1,FALLOW,2.3,2.8,2.3,0.6,0.7,0.8,1.8,2.8,0.0,0.0,4.5,0.8,17.2,13.4,0.0,0.0,0.1,0.3,1.1,5.2,1.0,0.5,0.0,0.0
2021-01-28,M02234S107C1,FALLOW,2.5,3.0,2.5,0.6,0.7,0.8,1.7,2.7,0.0,0.0,4.9,0.8,16.6,12.0,0.0,0.0,0.1,0.3,1.2,5.1,0.7,0.5,0.0,0.0
2021-01-28,M02235S107C1,FALLOW,2.4,2.9,2.5,0.6,0.7,0.8,1.7,2.7,0.0,0.0,6.0,1.3,18.0,14.7,0.0,0.0,0.1,0.3,1.1,6.4,0.8,0.5,0.0,0.0
2021-01-28,M02274S107C1,FALLOW,2.6,2.9,2.1,0.6,0.7,0.6,1.5,2.5,0.0,0.0,5.3,0.5,15.3,10.3,0.0,0.0,0.1,0.5,1.5,5.0,0.7,0.6,0.0,0.0
2021-01-28,M02275S107C1,FALLOW,2.5,2.7,2.1,0.6,0.7,0.7,1.6,2.6,0.0,0.0,5.7,1.2,16.7,11.8,0.0,0.0,0.1,0.5,1.3,6.2,0.6,0.6,0.0,0.0
2021-01-28,M02276S107C1,FALLOW,2.3,2.4,1.9,0.6,0.7,0.7,1.6,2.6,0.0,0.0,6.7,1.9,17.9,11.2,0.0,0.0,0.2,0.6,1.2,7.5,0.6,0.6,0.0,0.0
2021-01-28,M02315S107C1,FALLOW,2.5,2.6,1.8,0.5,0.8,0.6,1.5,2.5,0.0,0.0,4.5,1.0,13.9,8.7,0.0,0.0,0.2,0.7,1.5,6.2,0.5,0.7,0.0,0.0
2021-01-28,M01506S108C1,FALLOW,5.5,6.1,3.7,0.1,-1.2,1.0,1.7,2.4,0.0,0.0,10.9,9.7,10.2,1.3,0.0,0.0,0.1,0.0,3.7,5.7,2.7,0.0,0.0,0.0
2021-01-28,M01507S108C1,FALLOW,1.5,2.1,-1.2,-3.2,-1.4,1.0,1.6,2.2,0.1,0.0,16.4,16.3,12.0,1.5,0.0,0.0,0.1,0.0,5.0,5.5,3.0,0.0,0.1,0.1
2021-01-28,M01546S108C1,FALLOW,37.6,38.1,35.8,32.6,31.1,31.8,32.5,33.3,0.0,0.0,7.7,7.2,10.6,1.3,0.0,0.0,0.1,0.0,3.5,5.2,2.9,0.0,0.0,0.0
2021-01-28,M01547S108C1,FALLOW,7.3,8.0,5.1,1.9,0.4,1.1,1.7,2.4,0.0,0.0,10.9,11.9,12.2,1.5,0.0,0.0,0.1,0.0,4.3,5.1,2.9,0.0,0.1,0.1
2021-01-28,M01586S108C1,FALLOW,52.5,53.0,50.8,47.8,46.3,47.1,47.8,48.7,0.0,0.0,6.5,5.4,10.8,1.2,0.0,0.0,0.1,0.0,3.4,4.8,2.9,0.0,0.0,0.0
2021-01-28,M01587S108C1,FALLOW,38.8,39.3,36.7,33.8,32.2,33.0,33.7,34.4,0.0,0.0,7.7,6.5,10.9,1.5,0.0,0.0,0.1,0.0,4.0,4.7,3.0,0.0,0.0,0.1
2021-01-28,M01588S108C1,FALLOW,1.9,2.4,-1.0,-2.8,-1.5,1.0,1.6,2.2,0.0,0.0,13.7,15.0,13.1,1.6,0.0,0.0,0.1,0.0,5.2,5.0,3.2,0.0,0.2,0.2
2021-01-28,M01626S108C1,FALLOW,52.5,53.2,51.0,48.3,46.9,47.6,48.5,49.4,0.0,0.0,6.5,5.9,10.9,1.5,0.0,0.0,0.1,0.0,3.4,4.5,2.7,0.0,0.0,0.0
2021-01-28,M01627S108C1,FALLOW,31.6,32.2,29.6,26.9,25.3,26.1,26.9,27.7,0.0,0.0,7.0,6.8,11.6,1.7,0.0,0.0,0.1,0.0,4.0,4.4,3.0,0.0,0.0,0.1
2021-01-28,M01628S108C1,FALLOW,22.4,23.0,19.8,17.0,15.2,15.9,16.6,17.4,0.0,0.0,10.3,11.9,13.5,1.8,0.0,0.0,0.1,0.0,4.8,4.7,3.2,0.0,0.1,0.1
2021-01-28,M01667S108C1,FALLOW,51.1,51.7,48.7,46.3,44.7,45.4,46.3,47.3,0.0,0.0,6.9,5.9,11.8,1.8,0.0,0.0,0.1,0.0,4.6,4.1,3.0,0.0,0.0,0.0
2021-01-28,M01668S108C1,FALLOW,40.5,41.0,37.9,35.3,33.7,34.3,35.1,36.0,0.0,0.0,8.0,8.9,13.1,1.9,0.1,0.0,0.1,0.0,4.7,4.3,3.1,0.1,0.0,0.1
2021-01-28,M01669S108C1,FALLOW,26.5,27.1,23.8,20.9,19.1,19.7,20.4,21.2,0.0,0.0,9.8,12.5,14.8,2.0,0.3,0.0,0.1,0.0,5.1,4.8,3.2,0.1,0.1,0.1
2021-01-28,M01670S108C1,FALLOW,1.5,1.9,-2.5,-2.8,-1.6,0.9,1.5,2.1,0.0,0.4,12.6,19.1,14.8,3.3,0.0,0.0,0.1,0.2,6.6,5.0,3.2,0.1,0.1,0.2
2021-01-28,M01671S108C1,FALLOW,1.2,1.1,-4.7,-3.0,-1.7,0.9,1.4,2.0,0.1,1.0,14.1,29.3,16.5,5.8,0.0,0.0,0.2,0.6,8.5,5.4,3.3,0.1,0.1,0.2
2021-01-28,M01708S108C1,FALLOW,52.4,53.0,49.7,47.2,45.6,46.3,47.1,48.1,0.0,0.0,6.1,7.0,11.9,2.0,0.0,0.0,0.1,0.0,5.0,4.2,3.0,0.1,0.0,0.0
2021-01-28,M01709S108C1,FALLOW,36.6,37.2,34.3,31.5,29.9,30.5,31.3,32.1,0.0,0.0,6.1,9.1,12.0,2.6,0.0,0.0,0.1,0.0,4.4,4.7,3.0,0.1,0.0,0.1
2021-01-28,M01710S108C1,FALLOW,13.6,14.1,10.9,7.9,6.2,6.8,7.6,8.4,0.0,0.3,8.5,12.4,12.6,3.4,0.0,0.0,0.1,0.0,4.8,5.0,3.1,0.1,0.0,0.1
2021-01-28,M01711S108C1,FALLOW,1.3,1.6,-2.2,-3.0,-1.6,0.8,1.4,2.1,0.0,1.5,12.4,19.1,14.0,6.7,0.0,0.0,0.1,0.2,6.0,5.4,3.2,0.2,0.1,0.1
2021-01-28,M01749S108C1,FALLOW,39.0,39.6,37.2,34.4,32.9,33.5,34.3,35.2,0.0,0.0,3.6,7.6,10.6,3.3,0.0,0.0,0.1,0.0,3.8,4.6,2.9,0.1,0.0,0.1
2021-01-28,M01750S108C1,FALLOW,24.2,24.8,22.5,19.5,18.0,18.5,19.3,20.1,0.0,0.2,5.3,8.2,11.0,3.6,0.0,0.0,0.1,0.0,3.5,5.1,2.8,0.2,0.0,0.1
2021-01-28,M01751S108C1,FALLOW,9.0,9.7,6.7,3.3,1.8,2.3,3.0,3.8,0.0,1.5,9.6,12.5,12.1,6.8,0.0,0.0,0.1,0.0,4.4,5.6,2.9,0.2,0.0,0.1
2021-01-28,M01790S108C1,FALLOW,26.1,26.7,25.3,22.3,20.8,21.2,22.1,23.0,0.0,0.6,4.2,5.9,9.9,3.4,0.0,0.0,0.1,0.0,2.3,5.1,2.8,0.3,0.0,0.1
2021-01-28,M01791S108C1,FALLOW,7.0,7.7,5.9,2.4,0.9,1.4,2.2,3.1,0.0,1.5,6.1,6.4,10.0,5.6,0.0,0.0,0.1,0.0,2.8,5.7,2.8,0.3,0.0,0.1
2021-01-28,M01792S108C1,FALLOW,1.6,2.3,-0.2,-3.4,-1.3,0.6,1.5,2.3,0.0,2.3,9.7,9.8,10.8,9.8,0.0,0.0,0.1,0.0,3.7,6.0,2.8,0.4,0.0,0.1
2021-01-28,M01830S108C1,FALLOW,44.1,44.8,43.6,40.5,39.1,39.5,40.4,41.4,0.0,0.9,1.7,4.4,7.7,2.3,0.0,0.0,0.1,0.0,2.0,5.2,2.6,0.3,0.0,0.1
2021-01-28,M01831S108C1,FALLOW,23.2,23.8,22.6,19.1,17.8,18.2,19.1,20.0,0.0,1.8,3.2,3.0,8.3,4.1,0.0,0.0,0.1,0.0,2.1,5.6,2.6,0.4,0.0,0.1
2021-01-28,M01832S108C1,FALLOW,1.7,2.3,0.6,-3.2,-1.2,0.6,1.5,2.4,0.0,1.6,5.6,4.6,9.0,6.5,0.0,0.0,0.2,0.0,2.6,6.1,2.8,0.5,0.0,0.1
2021-01-28,M01871S108C1,FALLOW,9.8,10.5,9.2,5.9,4.7,5.0,6.0,7.1,0.0,0.7,2.8,2.3,7.4,4.3,0.0,0.0,0.2,0.0,2.2,5.4,2.5,0.4,0.0,0.0
2021-01-28,M01872S108C1,FALLOW,1.9,2.3,1.0,-2.7,-1.0,0.6,1.5,2.5,0.0,0.6,4.3,2.9,8.0,6.3,0.0,0.0,0.2,0.1,2.1,6.0,2.6,0.5,0.0,0.1
2021-01-28,M01873S108C1,FALLOW,1.3,1.8,-0.2,-4.4,-1.0,0.6,1.5,2.4,0.0,0.8,8.9,5.2,10.0,12.8,0.0,0.0,0.2,0.1,3.1,7.0,2.4,0.5,0.0,0.1
2021-01-28,M01912S108C1,FALLOW,1.5,2.1,1.1,-2.4,-0.9,0.6,1.6,2.6,0.0,0.2,4.3,2.7,8.2,7.9,0.0,0.0,0.2,0.1,1.8,5.7,2.5,0.5,0.0,0.0
2021-01-28,M01913S108C1,FALLOW,1.3,1.6,0.2,-4.1,-0.9,0.6,1.5,2.4,0.0,0.5,8.0,4.2,10.1,14.0,0.0,0.0,0.2,0.3,2.4,6.7,2.3,0.5,0.0,0.1
